class_id,class_name,n_cases,mean_dice_before,mean_dice_after,mean_dice_delta,mean_hd95_before_mm,mean_hd95_after_mm,mean_hd95_delta_mm,median_hd95_before_mm,median_hd95_after_mm,mean_assd_before_mm,mean_assd_after_mm,mean_assd_delta_mm,median_assd_before_mm,median_assd_after_mm
1,eCSF,1,0.8887579948976596,0.8893931895424176,0.0006351946447580303,1.118033988749895,1.118033988749895,0.0,1.118033988749895,1.118033988749895,0.49414438595219634,0.49358417219045164,-0.000560213761744699,0.49414438595219634,0.49358417219045164
2,GM,1,0.7882621121093939,0.7897013080148356,0.0014391959054417258,1.118033988749895,1.118033988749895,0.0,1.118033988749895,1.118033988749895,0.45489840530956305,0.45306933113026676,-0.0018290741792962861,0.45489840530956305,0.45306933113026676
6,dGM,1,0.8493791413775823,0.8489028387698432,-0.0004763026077391208,2.5,2.5,0.0,2.5,2.5,0.8519994138190845,0.8577411046593547,0.005741690840270208,0.8519994138190845,0.8577411046593547
