subject_id,model,class_id,class_name,dice,hd95_mm,assd_mm
sub-079,baseline,1,eCSF,0.8988983634886185,1.118033988749895,0.44153851885737044
sub-079,baseline,2,GM,0.782857290186378,1.0,0.4357060356847116
sub-079,baseline,3,WM,0.9263843638532188,1.4142135623730951,0.5184738197708004
sub-079,baseline,4,Ventricles,0.822538309626778,1.5,0.5595318453960993
sub-079,baseline,5,Cerebellum,0.9109448268981343,1.4142135623730951,0.5474486358448222
sub-079,baseline,6,dGM,0.8553962185367381,2.1213203435596424,0.8274124737925896
sub-079,baseline,7,Brainstem,0.836704556231456,2.179449471770337,0.7618810681501788
sub-079,comparative,1,eCSF,0.8890973552830722,1.118033988749895,0.4914770726458539
sub-079,comparative,2,GM,0.7894470716836869,1.118033988749895,0.45451663677304527
sub-079,comparative,3,WM,0.9262081736928505,1.4142135623730951,0.5215408838514526
sub-079,comparative,4,Ventricles,0.8372553692174793,1.5,0.6039907052299426
sub-079,comparative,5,Cerebellum,0.8969523570178914,1.8027756377319946,1.1911690366718597
sub-079,comparative,6,dGM,0.8499445479085145,2.5,0.8480837359316297
sub-079,comparative,7,Brainstem,0.8276513525118077,2.449489742783178,0.7832570205752852
sub-043,baseline,1,eCSF,0.8835991653628249,1.0,0.4296678481988315
sub-043,baseline,2,GM,0.8032509998919036,0.8660254037844386,0.35364498451327436
sub-043,baseline,3,WM,0.9134662083734152,1.118033988749895,0.43808532040040743
sub-043,baseline,4,Ventricles,0.9064671298770711,1.224744871391589,0.46287760548140383
sub-043,baseline,5,Cerebellum,0.8703310867055127,1.4142135623730951,0.5959716440594989
sub-043,baseline,6,dGM,0.7804166444290264,2.449489742783178,0.8842926396228522
sub-043,baseline,7,Brainstem,0.8264045273855914,2.449489742783178,0.7500686409230998
sub-043,comparative,1,eCSF,0.8683865052407843,1.118033988749895,0.48406194387091334
sub-043,comparative,2,GM,0.8127149109096593,0.8660254037844386,0.3557368427188858
sub-043,comparative,3,WM,0.9160039344562292,1.118033988749895,0.43220653181106444
sub-043,comparative,4,Ventricles,0.9096375668421808,1.118033988749895,0.4677517206954762
sub-043,comparative,5,Cerebellum,0.8308496864766063,1.7320508075688772,0.7496052245806623
sub-043,comparative,6,dGM,0.7942833377443381,2.0615528128088303,0.8060795850948541
sub-043,comparative,7,Brainstem,0.8478064994093266,2.0615528128088303,0.6434832431376075
sub-074,baseline,1,eCSF,0.8713486039829462,1.0,0.4154278510252481
sub-074,baseline,2,GM,0.7992849422133533,0.8660254037844386,0.37625582579251415
sub-074,baseline,3,WM,0.9184057757221822,1.224744871391589,0.4660624094505164
sub-074,baseline,4,Ventricles,0.7661167727042396,1.8708286933869707,0.6425763181839478
sub-074,baseline,5,Cerebellum,0.8979972895648246,1.118033988749895,0.43149454497100564
sub-074,baseline,6,dGM,0.8524720042660167,1.5,0.6550081813346506
sub-074,baseline,7,Brainstem,0.8506981265464828,1.5811388300841898,0.5968821028709325
sub-074,comparative,1,eCSF,0.8515397501095747,1.118033988749895,0.4759741679236598
sub-074,comparative,2,GM,0.8035715385705222,0.8660254037844386,0.3837271066845027
sub-074,comparative,3,WM,0.919991755904305,1.224744871391589,0.4600186151767699
sub-074,comparative,4,Ventricles,0.7756326242564775,2.0,0.6646020295023036
sub-074,comparative,5,Cerebellum,0.8595424107142857,1.6583123951777,0.6109805109917603
sub-074,comparative,6,dGM,0.8512331469911213,1.5,0.6388638233160892
sub-074,comparative,7,Brainstem,0.8562328982191719,1.5,0.5625860637579617
sub-042,baseline,1,eCSF,0.8766983547648767,1.118033988749895,0.44836508099416983
sub-042,baseline,2,GM,0.7878157621877552,1.0,0.3907794515649675
sub-042,baseline,3,WM,0.9109766840506313,1.118033988749895,0.4680331777939911
sub-042,baseline,4,Ventricles,0.8970208821484666,1.224744871391589,0.5050322423541637
sub-042,baseline,5,Cerebellum,0.8746022981252136,1.5,0.5733477737663444
sub-042,baseline,6,dGM,0.7695622368034473,2.5495097567963922,1.089641650367586
sub-042,baseline,7,Brainstem,0.8164814775320438,2.5,0.7977434818437291
sub-042,comparative,1,eCSF,0.8656122261459529,1.118033988749895,0.4915869365095188
sub-042,comparative,2,GM,0.7995078927348802,1.0,0.3889902633783405
sub-042,comparative,3,WM,0.9172378062820843,1.118033988749895,0.44013596162058716
sub-042,comparative,4,Ventricles,0.9076046914514427,1.118033988749895,0.47003747920173644
sub-042,comparative,5,Cerebellum,0.8391363355953115,1.8027756377319946,0.7573918155901578
sub-042,comparative,6,dGM,0.8062741283399703,2.29128784747792,0.9036622480533497
sub-042,comparative,7,Brainstem,0.8045488408782155,2.29128784747792,0.8134951392291454
sub-054,baseline,1,eCSF,0.8763474398065128,1.118033988749895,0.48183107730433244
sub-054,baseline,2,GM,0.7582569198230226,1.118033988749895,0.49834982858487376
sub-054,baseline,3,WM,0.9088109467491682,1.6583123951777,0.6008829383442089
sub-054,baseline,4,Ventricles,0.8565603878930356,1.8027756377319946,0.6635794123535443
sub-054,baseline,5,Cerebellum,0.9225826319031,1.5,0.5623088064928478
sub-054,baseline,6,dGM,0.8078969460768234,3.6742346141747673,1.1990972593163631
sub-054,baseline,7,Brainstem,0.7945359491820788,4.527692569068709,1.1995955588658374
sub-054,comparative,1,eCSF,0.8786562714161801,1.118033988749895,0.4801847300514511
sub-054,comparative,2,GM,0.764603720183576,1.118033988749895,0.5179587969107489
sub-054,comparative,3,WM,0.9107418653760192,1.5811388300841898,0.5937570764744742
sub-054,comparative,4,Ventricles,0.8620369921877703,2.5,0.7049364108145005
sub-054,comparative,5,Cerebellum,0.9261215744230405,1.4142135623730951,0.5625611167529263
sub-054,comparative,6,dGM,0.8197309849228674,3.774917217635375,1.0815690489132685
sub-054,comparative,7,Brainstem,0.7878823425906918,4.301162633521313,1.1274302292939693
sub-049,baseline,1,eCSF,0.8734991682942228,1.118033988749895,0.4667353724458545
