subject_id,class_id,class_name,dice_before,dice_after,ed_before,ed_after
sub-079,1,eCSF,0.8890960833909343,0.8897899975253619,3,14
sub-079,2,GM,0.7895077540392166,0.7909115862383125,95,96
sub-079,6,dGM,0.8495022965558643,0.849068587421568,1,1
sub-043,1,eCSF,0.8683922626893041,0.8691981474175433,11,9
sub-043,2,GM,0.8126853693713638,0.8128022704046762,90,92
sub-043,6,dGM,0.7942905756687778,0.7942288782996748,0,0
sub-074,1,eCSF,0.8518000567798609,0.8522551478650066,21,22
sub-074,2,GM,0.8037257668069168,0.8038015602775742,113,114
sub-074,6,dGM,0.8513569045153443,0.8503051137391647,1,1
sub-042,1,eCSF,0.8656002503371356,0.866339024247939,42,57
sub-042,2,GM,0.7994805982034878,0.8002495951507228,37,43
sub-042,6,dGM,0.8062138047393941,0.8062503803785528,3,3
sub-054,1,eCSF,0.8787987740156449,0.8792192618216179,87,97
sub-054,2,GM,0.7646828055534072,0.7653666928393861,369,312
sub-054,6,dGM,0.8194215748363943,0.8190052343391948,0,0
sub-049,1,eCSF,0.8654046179761394,0.8663658157836985,52,109
sub-049,2,GM,0.779944474371193,0.7813468757631068,156,156
sub-049,6,dGM,0.876821290977102,0.8767535943237692,1,1
sub-020,1,eCSF,0.12252966085690184,0.12421250508061238,670,439
sub-020,2,GM,0.4780148474784405,0.4761155818234394,111,189
sub-020,6,dGM,0.7645478594327821,0.7642621920391348,1,1
sub-034,1,eCSF,0.9023912175727979,0.902604093252625,46,49
sub-034,2,GM,0.7734348292533842,0.7741884693927357,108,106
sub-034,6,dGM,0.8805338939545799,0.8809567459880957,3,2
sub-039,1,eCSF,0.8926494280242773,0.8926536503836512,10,19
sub-039,2,GM,0.7778409266409266,0.7772491950346837,124,128
sub-039,6,dGM,0.8140710453220158,0.814803956229682,3,3
sub-025,1,eCSF,0.1599792553772246,0.1658842162830174,1379,615
sub-025,2,GM,0.4456725524952277,0.45335737203450294,26,135
sub-025,6,dGM,0.85851511892349,0.8584656301817406,0,0
sub-038,1,eCSF,0.878312069419941,0.8787272884238625,18,10
sub-038,2,GM,0.751999501342091,0.7522823769876329,136,142
sub-038,6,dGM,0.8349914724275156,0.8346639795364701,2,1
sub-017,1,eCSF,0.22976931676309068,0.23764769519430687,705,625
sub-017,2,GM,0.3943323695838038,0.39117083541114406,193,44
sub-017,6,dGM,0.7899318277707459,0.7904496316953126,0,0
